country,population,area_sq_km,fert_rate,med_age,migrants,net_change,pop_per_sq_km,pop_urban_perc,world_perc,year_change_perc
Laos,7293542,230800,2.7,24,-14704,106105,32,36.0,0.09,1.48
Paraguay,7147553,397300,2.4,26,-16556,87902,18,62.0,0.09,1.25
Bulgaria,6939018,108560,1.6,45,-4800,-51674,64,76.0,0.09,-0.74
Libya,6887247,1759540,2.3,29,-1999,93840,4,78.0,0.09,1.38
Lebanon,6819976,10230,2.1,30,-30012,-30268,667,78.0,0.09,-0.44
Nicaragua,6638075,120340,2.4,26,-21272,79052,55,57.0,0.08,1.21
Kyrgyzstan,6542426,191800,3.0,26,-4000,108345,34,36.0,0.08,1.69
El Salvador,6491923,20720,2.1,28,-40539,32652,313,73.0,0.08,0.51
Turkmenistan,6046292,469930,2.8,27,-5000,89111,13,53.0,0.08,1.5
Sierra Leone,5858322,700,1.2,42,27028,46005,8358,NULL,0.08,0.79
Denmark,5795780,42430,1.8,42,15200,20326,137,88.0,0.07,0.35
Finland,5542237,303890,1.5,43,14000,8564,18,86.0,0.07,0.15
Congo,5540555,341500,4.5,19,-4000,137579,16,70.0,0.07,2.56
Slovakia,5460109,48088,1.5,41,1485,2629,114,54.0,0.07,0.05
Norway,5428594,365268,1.7,40,28000,42384,15,83.0,0.07,0.79
Oman,5128058,309500,2.9,31,87400,131640,16,87.0,0.07,2.65
State of Palestine,5121112,6020,3.7,21,-10563,119994,847,80.0,0.07,2.41
Costa Rica,5102158,51060,1.8,33,4200,46557,100,80.0,0.07,0.92
Liberia,5077411,96320,4.4,19,-5000,120307,53,53.0,0.06,2.44
Ireland,4947267,68890,1.8,38,23604,55291,72,63.0,0.06,1.13
Central African Republic,4843954,622980,4.8,18,-40000,84582,8,43.0,0.06,1.78
New Zealand,4829021,263310,1.9,38,14881,39170,18,87.0,0.06,0.82
Mauritania,14669775,1030700,4.6,20,5000,123962,5,57.0,0.06,2.74
Panama,4326296,74340,2.5,30,11200,68328,58,68.0,0.06,1.61
Kuwait,4281320,17820,2.1,37,39520,63488,240,NULL,0.05,1.51
Croatia,4100719,55960,1.4,44,-8001,-25037,73,58.0,0.05,-0.61
Moldova,4032294,32850,1.3,38,-1387,-9300,123,43.0,0.05,-0.23
Georgia,3987805,69490,2.1,38,-10000,-7598,57,58.0,0.05,-0.19
Eritrea,3554797,101000,4.1,19,-39858,49304,35,63.0,0.05,1.41
Uruguay,3475842,175020,2.0,36,-3000,11996,20,96.0,0.04,0.35
Bosnia and Herzegovina,3277152,51000,1.3,43,-21585,-20181,64,52.0,0.04,-0.61
Mongolia,3287242,1553560,2.9,28,-852,53123,2,67.0,0.04,1.65
Armenia,12964219,28470,1.8,35,-4998,5512,104,63.0,0.04,0.19
